Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureExtraArcs,measureMissingArcs,measureReversedArcs,measureDivergence,measureBayesScore,measureBDeuScore,measureMDLScore,measureAICScore,measureEntropyScore
labeled_matrix-bert-emot,1,1,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.0200630163E7,36000.0,4000.0,3091.0,909.0,0.0,77.275,22.725,0.0,0.4934522151016998,0.22702968480487898,0.4747412096364895,60.540128230095355,109.63678601522355,3245.112500804611,114305.67492795203,-111060.56242714742,0.8112781252011527,28.576418731988007,-27.765140606786854,1050.2683691903023,0.2625670922975756,32.36462122437644,0.84,840.0,0.24966666666666668,749.0,0.7503333333333333,2251.0,0.16,160.0,0.5286343612334802,0.84,0.6488991888760138,0.5223930375565313,0.8350875,0.5471253041162142,0.77275,0.1824166666666667,0.8175833333333332,0.22725,0.832386711419942,0.77275,0.7862314503330303,0.5223930375565313,0.839331125,0.8301687992034583,0.7404540298473582,0.77275,44.032,0.225,44.01,0.22,44010.0,220.0,2954045.0,2.24857434E8,2.5017434E7,77.875,50.4875,?,0.0,0.0,0.0,0.0,-3.436408722539426E7,-3.438185541834463E7,-3.43815675141774E7,-3.434888884535175E7,-3.434119184535175E7
labeled_matrix-bert-emot,1,2,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02006301631E7,36000.0,4000.0,3099.0,901.0,0.0,77.475,22.525,0.0,0.49024045261669036,0.22477704569483184,0.4731288628411441,59.939435590735926,109.26443047288718,3245.112500804611,113813.79436631498,-110568.68186551037,0.8112781252011527,28.453448591578745,-27.642170466377593,1073.5434753566942,0.26838586883917354,33.08185694919711,0.817,817.0,0.23933333333333334,718.0,0.7606666666666667,2282.0,0.183,183.0,0.5322475570032573,0.817,0.6445759368836291,0.5143695886405673,0.8301325,0.5442518280405088,0.77475,0.19708333333333333,0.8029166666666667,0.22525,0.8273823760662301,0.77475,0.7874934810187114,0.5143695886405673,0.8325645,0.825432958082792,0.7398542996403508,0.77475,43.43,0.197,43.4,0.2,43400.0,200.0,2955636.0,2.24857434E8,2.5017434E7,77.825,50.2625,?,0.0,0.0,0.0,0.0,-3.453768292311941E7,-3.455562213326263E7,-3.455527131671062E7,-3.452238036602956E7,-3.451463336602956E7
labeled_matrix-bert-emot,1,3,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02006301632E7,36000.0,4000.0,3079.0,921.0,0.0,76.975,23.025,0.0,0.4864789517702816,0.23000004306496308,0.47818914022363346,61.332209098768395,110.43305147586788,3245.112500804611,118568.09537054127,-115322.98286973666,0.8112781252011527,29.642023842635318,-28.830745717434166,1022.2623235791898,0.2555655808947975,31.501598891432103,0.833,833.0,0.25133333333333335,754.0,0.7486666666666667,2246.0,0.167,167.0,0.5248897290485193,0.833,0.6439891766524933,0.5148345444896283,0.8284935,0.5322673721467666,0.76975,0.18808333333333335,0.8119166666666667,0.23025000000000004,0.8293160916073432,0.76975,0.7833878354526116,0.5148345444896283,0.8342518750000001,0.8249740438442202,0.7369216158525722,0.76975,43.517,0.191,43.48,0.2,43480.0,200.0,2954498.0,2.24857434E8,2.5017434E7,77.375,50.3625,?,0.0,0.0,0.0,0.0,-3.458175932642955E7,-3.459956824965444E7,-3.4599170208324336E7,-3.456643210057919E7,-3.455872110057919E7
labeled_matrix-bert-emot,1,4,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02006301632E7,36000.0,4000.0,3103.0,897.0,0.0,77.575,22.425,0.0,0.49336345665066383,0.22412052347646355,0.47191681895059384,59.76436624101595,108.98452092643963,3245.112500804611,115411.85144055632,-112166.73893975171,0.8112781252011527,28.85296286013908,-28.041684734937927,1078.365291518645,0.26959132287966125,33.23044397540206,0.822,822.0,0.23966666666666667,719.0,0.7603333333333333,2281.0,0.178,178.0,0.5334198572355613,0.822,0.6469893742621015,0.5181454560432688,0.8342235,0.5414966300042142,0.77575,0.19341666666666665,0.8065833333333332,0.22425,0.8290646023731442,0.77575,0.7885104869983885,0.5181454560432688,0.8356643749999999,0.8259055517636502,0.7413367827529594,0.77575,42.342,0.189,42.25,0.19,42250.0,190.0,2956026.0,2.24857434E8,2.5017434E7,78.025,50.4,?,0.0,0.0,0.0,0.0,-3.450557723229952E7,-3.45235726847227E7,-3.4523247458732344E7,-3.449030556040596E7,-3.448254656040596E7
labeled_matrix-bert-emot,1,5,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02006301633E7,36000.0,4000.0,3064.0,936.0,0.0,76.6,23.4,0.0,0.4750420639371845,0.2343147770164149,0.4826497793597774,62.482783513405586,111.46319195774223,3245.112500804611,123078.4808246486,-119833.368323844,0.8112781252011527,30.769620206162152,-29.958342080961,981.9746091373607,0.2454936522843402,30.26010990046985,0.815,815.0,0.25033333333333335,751.0,0.7496666666666667,2249.0,0.185,185.0,0.520434227330779,0.815,0.6352299298519096,0.5009525744416153,0.8181218333333333,0.5251684828078568,0.766,0.20133333333333334,0.7986666666666667,0.234,0.8231036266765732,0.766,0.7796208795921641,0.5009525744416153,0.8180768333333333,0.8152731909841057,0.7314905630120793,0.766,43.292,0.189,43.25,0.19,43250.0,190.0,2956580.0,2.24857434E8,2.5017434E7,76.9,50.375,?,0.0,0.0,0.0,0.0,-3.456216276911044E7,-3.458019220255857E7,-3.4579806096598916E7,-3.4546796268078804E7,-3.4539021268078804E7
labeled_matrix-bert-emot,1,6,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02006301634E7,36000.0,4000.0,3137.0,863.0,0.0,78.425,21.575,0.0,0.5084021646254628,0.21561344672575167,0.463300164330437,57.49585444797005,106.9945897816785,3245.112500804611,109653.58634539774,-106408.47384459313,0.8112781252011527,27.413396586349435,-26.602118461148283,1161.6981419810936,0.2904245354952734,35.7983934822924,0.824,824.0,0.229,687.0,0.771,2313.0,0.176,176.0,0.5453342157511581,0.824,0.6563122262046993,0.5314139033148289,0.8358806666666667,0.5471705191299815,0.78425,0.18925,0.81075,0.21575,0.8333002072121969,0.78425,0.7961604030623791,0.5314139033148289,0.8342810416666666,0.8262181302629054,0.7495443441098192,0.78425,42.718,0.191,42.66,0.19,42660.0,190.0,2954437.0,2.24857434E8,2.5017434E7,78.725,50.3125,?,0.0,0.0,0.0,0.0,-3.4416792852994E7,-3.4434605001338646E7,-3.443422018727343E7,-3.440150755335091E7,-3.439380255335091E7
labeled_matrix-bert-emot,1,7,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02006301635E7,36000.0,4000.0,3117.0,883.0,0.0,77.925,22.075,0.0,0.50295524908528,0.22055953050939203,0.468233723377928,58.814785700311496,108.13394643874523,3245.112500804611,111830.85403312845,-108585.74153232384,0.8112781252011527,27.95771350828211,-27.14643538308096,1115.1336232387328,0.2787834058096832,34.36348117244751,0.835,835.0,0.23933333333333334,718.0,0.7606666666666667,2282.0,0.165,165.0,0.5376690276883451,0.835,0.654132393262828,0.5292504215461291,0.8370203333333334,0.5471125642204759,0.77925,0.18358333333333335,0.8164166666666668,0.22075,0.8338451277843666,0.77925,0.7919524116992208,0.5292504215461291,0.8385340833333333,0.8285592562342342,0.7460124055537565,0.77925,43.464,0.206,43.44,0.2,43440.0,200.0,2953178.0,2.24857434E8,2.5017434E7,78.3,50.375,?,0.0,0.0,0.0,0.0,-3.440786315685751E7,-3.442555969331025E7,-3.442519538930297E7,-3.439262710704211E7,-3.438495610704211E7
labeled_matrix-bert-emot,1,8,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02006301635E7,36000.0,4000.0,3114.0,886.0,0.0,77.85,22.15,0.0,0.4977324263038547,0.2220203632552093,0.4697753748895024,59.204333885741555,108.48997560464372,3245.112500804611,113852.49904814227,-110607.38654733766,0.8112781252011527,28.46312476203557,-27.651846636834417,1100.3018240356412,0.2750754560089103,33.90643078669311,0.821,821.0,0.23566666666666666,707.0,0.7643333333333333,2293.0,0.179,179.0,0.537303664921466,0.821,0.6495253164556961,0.5216485131833651,0.8253783333333333,0.5369702380725783,0.7785,0.19316666666666665,0.8068333333333333,0.2215,0.830017663803182,0.7785,0.7909449256051521,0.5216485131833651,0.8265330833333333,0.8209364417403893,0.7438050558886667,0.7785,42.972,0.201,42.95,0.2,42950.0,200.0,2956571.0,2.24857434E8,2.5017434E7,78.125,50.3625,?,0.0,0.0,0.0,0.0,-3.460526408690718E7,-3.46233167147605E7,-3.462294105888306E7,-3.458992273908874E7,-3.458214573908874E7
labeled_matrix-bert-emot,1,9,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02006301636E7,36000.0,4000.0,3116.0,884.0,0.0,77.9,22.1,0.0,0.5036496350364964,0.22100285571583386,0.4685441343862568,58.933003566264524,108.20563279039555,3245.112500804611,114511.22406272037,-111266.11156191576,0.8112781252011527,28.627806015680093,-27.81652789047894,1109.1384428059307,0.2772846107014827,34.17873625431861,0.839,839.0,0.241,723.0,0.759,2277.0,0.161,161.0,0.5371318822023048,0.839,0.6549570647931304,0.5307676511612613,0.8358078333333333,0.5474425185649164,0.779,0.181,0.819,0.221,0.8347546686637838,0.779,0.7918194427337736,0.5307676511612613,0.8400104583333333,0.8295974859517908,0.7461986500868926,0.779,42.848,0.201,42.84,0.2,42840.0,200.0,2952384.0,2.24857434E8,2.5017434E7,78.275,50.375,?,0.0,0.0,0.0,0.0,-3.4468136675472595E7,-3.448572268696562E7,-3.448531991310006E7,-3.4452870508678265E7,-3.4445227508678265E7
labeled_matrix-bert-emot,1,10,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02006301637E7,36000.0,4000.0,3112.0,888.0,0.0,77.8,22.2,0.0,0.49401709401709404,0.22217182470410982,0.47009111792781283,59.244722857545995,108.56289333587154,3245.112500804611,113500.77509254737,-110255.66259174276,0.8112781252011527,28.375193773136843,-27.56391564793569,1098.3977476214532,0.2745994369053633,33.84775558163578,0.811,811.0,0.233,699.0,0.767,2301.0,0.189,189.0,0.5370860927152318,0.811,0.6462151394422311,0.516297852438665,0.8288766666666667,0.5373273461587141,0.778,0.2,0.8,0.222,0.8273438123354344,0.778,0.7902423094507217,0.516297852438665,0.8273437916666667,0.8204777753928579,0.7422332527812248,0.778,42.552,0.202,42.54,0.2,42540.0,200.0,2955721.0,2.24857434E8,2.5017434E7,78.125,50.35,?,0.0,0.0,0.0,0.0,-3.4630393670764655E7,-3.464832675874027E7,-3.464793917422768E7,-3.4615039732272394E7,-3.4607290732272394E7
